sampleId,physicalTotal,verifiedBy,verificationMethod,canEveryBagBeAccountedFor,approvedStackType,decision,notes
smp94cc5e9a183c2bbd2bcbac96,,,,,,PENDING,
smpafa628cbcc8cac375847237a,,,,,,PENDING,
smp2f059ea922ed0aec2e343d39,,,,,,PENDING,
smpe905b90794da065feb5bd67f,,,,,,PENDING,
smpcd2395481e3541bbb877bb97,,,,,,PENDING,
smp6dd116dfe942aeae6c47e9bf,,,,,,PENDING,
smpdcec706b7ec1b757b15cc773,,,,,,PENDING,
smpad7bf0a94ece9f719065bbbf,,,,,,PENDING,
smp5d8a207ac037932d8d762670,,,,,,PENDING,
smp118fa8c60854973d0531c737,,,,,,PENDING,
smp589493004f61688bb1de1718,,,,,,PENDING,
smp7ffb17266865ec52dd35a81f,,,,,,PENDING,
smpd628fcab42e2e0dc4bfad169,,,,,,PENDING,
smp930eb97a66073238b6fa80d1,,,,,,PENDING,
smp6d2233fd97d5d36d02862f48,,,,,,PENDING,
smp385c5ac5b850ced7f43eb113,,,,,,PENDING,
smpb8910c9e97e1ce0d4206571a,,,,,,PENDING,
smp022ac9c74ba95fd9ab85aa70,,,,,,PENDING,
smpdbef7ff4e6bbe0c93ac4b7a6,,,,,,PENDING,
smpb6ed7195cf9fa31020c182a4,,,,,,PENDING,
